"Taxon","State"
"Entoloma_tjallingiorum","Absent"
"Entoloma_lampropus","Absent"
"Entoloma_indoviolaceum","Absent"
"Entoloma_eugenei","Absent"
"Leptonia_carnea","Absent"
"Entoloma_dichroum","Absent"
"Entoloma_vezzenaense","Absent"
"Entoloma_chytrophilum","Absent"
"Entoloma_sublaevisporum","Absent"
"Entoloma_strictius","Absent"
"Entoloma_rhodocylix","Absent"
"Entoloma_readiae","Absent"
"Nolanea_strictior","Absent"
"Entoloma_pallideradicatum","Absent"
"Entoloma_conferendum","Absent"
"Entoloma_cephalotrichum","Absent"
"Nolanea_sericea","Absent"
"Entoloma_pygmaeopapillatum","Absent"
"Entoloma_valdeumbonatum","Absent"
"Nolanea_hirtipes","Absent"
"Entoloma_hebes","Absent"
"Nolanea_conica","Absent"
"Entoloma_mougeotii","Absent"
"Entoloma_phaeomarginatum","Absent"
"Entoloma_incanum","Absent"
"Entoloma_exile","Absent"
"Entoloma_mastoideum","Absent"
"Entoloma_caespitosum","Absent"
"Entoloma_transmutans","Absent"
"Entoloma_sulacatum","Absent"
"Entoloma_subtenuicystidiatum","Absent"
"Alboleptonia_stylophora","Absent"
"Entoloma_stylophorum","Absent"
"Entoloma_flavidum","Absent"
"Entoloma_flavovelutinum","Absent"
"Leptonia_subserrulata","Absent"
"Entoloma_praegracile","Absent"
"Entoloma_serrulatum","Absent"
"Entoloma_azureosquamulosum","Absent"
"Entoloma_henricii","Absent"
"Inopilus_entolomoides","Absent"
"Entoloma_omiense","Absent"
"Entoloma_odorifer","Absent"
"Entoloma_subclitocyboides","Absent"
"Entoloma_sericellum","Absent"
"Alboleptonia_sericella","Absent"
"Entoloma_gasteromycetoides","Absent"
"Entoloma_hypogaeum","Absent"
"Entoloma_petchii","Absent"
"Entoloma_procerum","Absent"
"Entoloma_luteum","Absent"
"Inocephalus_lactifluus","Absent"
"Entoloma_murrayi","Absent"
"Entoloma_quadratum","Absent"
"Entoloma_albidoquadratum","Absent"
"Entoloma_tectonicola","Absent"
"Entoloma_cocles","Absent"
"Entoloma_niphoides","Absent"
"Entoloma_flavifolium","Absent"
"Entoloma_sericatum","Absent"
"Entoloma_myrmecophilum","Absent"
"Entoloma_sordidulum","Absent"
"Entoloma_lividoalbum","Absent"
"Entoloma_caccabus","Absent"
"Entoloma_pallidocarpum","Absent"
"Entoloma_prunuloides","Absent"
"Entoloma_sinuatum","Absent"
"Entoloma_rhodopolium","Absent"
"Entoloma_politum","Absent"
"Entoloma_alpicola","Absent"
"Entoloma_nidorosum","Absent"
"Entoloma_caeruleoflavum","Absent"
"Entoloma_hainanense","Absent"
"Entoloma_fragilum","Absent"
"Entoloma_indigoticoumbrinum","Absent"
"Entoloma_perbloxamii","Absent"
"Entocybe_trachyospora","Absent"
"Entocybe_vinacea","Absent"
"Entocybe_turbida","Absent"
"Entocybe_haastii","Absent"
"Entoloma_alcedicolor","Absent"
"Entoloma_cretaceum","Absent"
"Entoloma_bloxamii","Absent"
"Entoloma_gelatinosum","Absent"
"Entoloma_rugosostriatum","Absent"
"Entoloma_olivaceocoloratum","Absent"
"Entoloma_kermandii","Absent"
"Entoloma_griseolazulinum","Absent"
"Entoloma_sphagneti","Absent"
"Entoloma_sarcitum","Absent"
"Entoloma_pluteisimilis","Absent"
"Entoloma_zuccherellii","Absent"
"Tephrocybella_griseonigrescens","Absent"
"Rhodocybe_popinalis","Absent"
"Clitocella_mundula","Absent"
"Clitocella_fallax","Absent"
"Clitopilus_scyphoides","Absent"
"Omphalina_farinolens","Absent"
"Clitopilus_giovanellae","Absent"
"Clitopilus_pinsitus","Absent"
"Clitopilus_apalus","Absent"
"Clitopilus_chrischonensis","Absent"
"Clitopilus_cystidiatus","Absent"
"Clitopilus_prunulus","Absent"
"Rhodocybe_aureicystidiata","Absent"
"Rhodocybe_pruinosistipitata","Absent"
"Rhodocybe_pallidogriseus","Absent"
"Rhodocybe_pseudopiperita","Absent"
"Rhodocybe_gemina","Absent"
"Rhodocybe_caelata","Absent"
"Rhodocybe_brunnescens","Absent"
"Rhodocybe_spongiosa","Absent"
"Rhodophana_stangliana","Absent"
"Rhodophana_nitellina","Absent"
"Pleurocollybia_imbricata","Absent"
"Macrocybe_gigantea","Absent"
"Clitocybe_fellea","Absent"
"Pleurocollybia_brunnescens","Absent"
"Callistosporium_luteoolivaceum","Absent"
"Callistosporium_xanthophyllum","Absent"
"Callistosporium_graminicolor","Absent"
"Catathelasma_ventricosum","Present"
"Cleistocybe_carneogrisea","Absent"
"Singerocybe_phaeopthalma","Absent"
"Singerocybe_umbilicata","Absent"
"Singerocybe_adirondackensis","Absent"
"Singerocybe_humilis","Absent"
"Singerocybe_alboinfundibuliformis","Absent"
"Singerocybe_clitocyboides","Absent"
"Pseudoomphalina_felleoides","Absent"
"Rhizocybe_vermicularis","Absent"
"Rhizocybe_pruinosa","Absent"
"Dendrocollybia_racemosa","Absent"
"Clitocybe_subditopoda","Absent"
"Clitocybe_vibecina","Absent"
"Clitocybe_puberula","Absent"
"Hypsizygus_ulmarius","Absent"
"Hypsizygus_tessulatus","Absent"
"Ossicaulis_lignatilis","Absent"
"Sphagnurus_paluster","Absent"
"Asterophora_parasitica","Absent"
"Tricholomella_constricta","Absent"
"Sagaranella_tylicolor","Absent"
"Sagaranella_gibbosa","Absent"
"Sagaranella_gibberosa","Absent"
"Lyophyllum_ambustum","Present"
"Lyophyllum_fumosum","Present"
"Lyophyllum_decastes","Present"
"Lyophyllum_atratum","Present"
"Lyophyllum_anthracophilum","Present"
"Lyophyllum_sykosporum","Present"
"Lyophyllum_semitale","Present"
"Lyophyllum_caerulescens","Present"
"Tephrocybe_rancida","Absent"
"Termitomyces_aurantiacus","Absent"
"Termitomyces_microcarpus","Absent"
"Termitomyces_eurrhizus","Absent"
"Termitomyces_heimii","Absent"
"Termitomyces_clypeatus","Absent"
"Calocybella_pudica","Absent"
"Gerhardtia_incarnatobrunnea","Absent"
"Gerhardtia_borealis","Absent"
"Gerhardtia_highlandensis","Absent"
"Myochromella_boudieri","Absent"
"Myochromella_inolens","Absent"
"Calocybe_favrei","Absent"
"Calocybe_gangraenosa","Absent"
"Calocybe_fallax","Absent"
"Calocybe_gambosa","Absent"
"Calocybe_persicolor","Absent"
"Calocybe_obscurissima","Absent"
"Calocybe_cyanea","Absent"
"Rugosomyces_onychinus","Absent"
"Leucocybe_connata","Absent"
"Leucocybe_candicans","Absent"
"Ripartites_metrodii","Absent"
"Ripartites_tricholoma","Absent"
"Macrocystidia_cucumis","Absent"
"Aspropaxillus_septentrionalis","Absent"
"Aspropaxillus_giganteus","Absent"
"Giacomia_mirabilis","Absent"
"Limnoperdon_incarnatum","Absent"
"Melanoleuca_privernensis","Absent"
"Melanoleuca_alboflavida","Absent"
"Melanoleuca_verrucipes","Absent"
"Paralepista_flaccida","Absent"
"Pseudoclitopilus_rhodoleucus","Absent"
"Notholepista_subzonalis","Absent"
"Musumecia_bettlachensis","Absent"
"Musumecia_vermicularis","Absent"
"Pseudoclitocybe_cyathiformis","Absent"
"Pogonoloma_spinulosum","Absent"
"Pogonoloma_macrocephalum","Absent"
"Fayodia_gracilipes","Absent"
"Myxomphalia_maura","Absent"
"Conchomyces_bursiformis","Absent"
"Gamundia_leucophylla","Absent"
"Caulorhiza_hygrophoroides","Absent"
"Leucocortinarius_bulbiger","Absent"
"Rimbachia_bryophila","Absent"
"Infundibulicybe_glareosa","Absent"
"Infundibulicybe_gibba","Absent"
"Infundibulicybe_geotropa","Absent"
"Tulostoma_simulans","Absent"
"Tulostoma_macrocephala","Absent"
"Lepiota_fuscovinacea","Absent"
"Echinoderma_hystrix","Absent"
"Lepiota_perplexa","Absent"
"Cystolepiota_seminuda","Absent"
"Cystolepiota_sistrata","Absent"
"Melanophyllum_haematospermum","Absent"
"Cystolepiota_cystidiosa","Absent"
"Cystolepiota_cystophora","Absent"
"Lepiota_nigrescentipes","Absent"
"Lepiota_cristatoides","Absent"
"Lepiota_castaneidisca","Absent"
"Lepiota_cristata","Absent"
"Lepiota_hymenoderma","Absent"
"Lepiota_lilacea","Absent"
"Lepiota_pseudolilacea","Absent"
"Lepiota_subgracilis","Absent"
"Lepiota_maculans","Absent"
"Lepiota_forquignonii","Absent"
"Lepiota_echinella","Absent"
"Lepiota_attenuata","Absent"
"Lepiota_clypeolaria","Absent"
"Lepiota_magnispora","Absent"
"Lepiota_oreadiformis","Absent"
"Lepiota_kuehneriana","Absent"
"Lepiota_spheniscispora","Absent"
"Lepiota_neophana","Absent"
"Lepiota_xanthophylla","Absent"
"Lepiota_boudieri","Absent"
"Lepiota_farinolens","Absent"
"Echinoderma_jacobi","Absent"
"Lepiota_cingulum","Absent"
"Verrucospora_flavofusca","Absent"
"Macrolepiota_velosa","Absent"
"Macrolepiota_dolichaula","Absent"
"Macrolepiota_procera","Absent"
"Macrolepiota_gasteroidea","Absent"
"Macrolepiota_gracilenta","Absent"
"Macrolepiota_excoriata","Absent"
"Macrolepiota_orientiexcoriata","Absent"
"Macrolepiota_mastoidea","Absent"
"Macrolepiota_konradii","Absent"
"Macrolepiota_colombiana","Absent"
"Macrolepiota_turbinata","Absent"
"Leucoagaricus_melanotrichus","Absent"
"Lepiota_ocellata","Absent"
"Leucoagaricus_cinerascens","Absent"
"Leucoagaricus_dyscritus","Absent"
"Leucoagaricus_ionidicolor","Absent"
"Leucoagaricus_barssii","Absent"
"Lepiota_roseolivida","Absent"
"Leucoagaricus_flammeotinctoides","Absent"
"Leucoagaricus_erythrophaeus","Absent"
"Leucoagaricus_pardalotus","Absent"
"Leucoagaricus_adelphicus","Absent"
"Lepiota_fuliginescens","Absent"
"Leucoagaricus_badhamii","Absent"
"Leucocoprinus_cretaceus","Absent"
"Lepiota_flammeotincta","Absent"
"Leucoagaricus_sericatellus","Absent"
"Leucoagaricus_sericifer","Absent"
"Leucoagaricus_rubroconfusus","Absent"
"Leucoagaricus_rubrotinctus","Absent"
"Leucoagaricus_sublittoralis","Absent"
"Leucoagaricus_viriditinctus","Absent"
"Leucoagaricus_serenus","Absent"
"Leucoagaricus_orientiflavus","Absent"
"Leucocoprinus_longistriatus","Absent"
"Leucocoprinus_brebissonii","Absent"
"Leucocoprinus_birnbaumii","Absent"
"Melanophyllum_echinatum","Absent"
"Leucoagaricus_naucinus","Absent"
"Leucoagaricus_nympharum","Absent"
"Leucoagaricus_leucothites","Absent"
"Leucocoprinus_cepistipes","Absent"
"Leucoagaricus_sabinae","Absent"
"Leucoagaricus_flavovirens","Absent"
"Leucoagaricus_tener","Absent"
"Leucoagaricus_americanus","Absent"
"Lepiota_furfuraceipes","Absent"
"Leucocoprinus_straminellus","Absent"
"Lepiota_discolorata","Absent"
"Leucoagaricus_croceovelutinus","Absent"
"Lepiota_castanescens","Absent"
"Chamaeota_sinica","Absent"
"Micropsalliota_megarubescens","Absent"
"Micropsalliota_globocystis","Absent"
"Micropsalliota_furfuracea","Absent"
"Micropsalliota_megaspora","Absent"
"Micropsalliota_arginea","Absent"
"Allopsalliota_geesterani","Absent"
"Micropsalliota_allantoidea","Absent"
"Micropsalliota_gracilis","Absent"
"Micropsalliota_arginophaea","Absent"
"Micropsalliota_subalba","Absent"
"Micropsalliota_pusillissima","Absent"
"Micropsalliota_bifida","Absent"
"Micropsalliota_subarginea","Absent"
"Micropsalliota_suthepensis","Absent"
"Micropsalliota_xanthorubescens","Absent"
"Leucoagaricus_meleagris","Absent"
"Lepiota_besseyi","Absent"
"Leucoagaricus_hortensis","Absent"
"Chlorophyllum_hortense","Absent"
"Lepiota_humei","Absent"
"Heinemannomyces_splendidissima","Absent"
"Clarkeinda_trachodes","Absent"
"Hymenagaricus_epipastus","Absent"
"Hymenagaricus_taiwanensis","Absent"
"Barcheria_willisiana","Absent"
"Agaricus_xanthodermulus","Absent"
"Agaricus_californicus","Absent"
"Agaricus_xanthodermus","Absent"
"Agaricus_pocillator","Absent"
"Agaricus_rotalis","Absent"
"Agaricus_devoniensis","Absent"
"Agaricus_bisporus","Absent"
"Agaricus_melanosporus","Absent"
"Agaricus_trisulphuratus","Absent"
"Agaricus_subsubensis","Absent"
"Agaricus_eburneocanus","Absent"
"Agaricus_inilleasper","Absent"
"Agaricus_aridicola","Absent"
"Agaricus_semotus","Absent"
"Agaricus_diminutivus","Absent"
"Agaricus_inapertus","Absent"
"Agaricus_augustus","Absent"
"Agaricus_blazei","Absent"
"Agaricus_deserticola","Absent"
"Eriocybe_chionea","Absent"
"Coniolepiota_spongodes","Absent"
"Chlorophyllum_agaricoides","Absent"
"Leucoagaricus_atroazureus","Absent"
"Chlorophyllum_brunneum","Absent"
"Macrolepiota_rachodes","Absent"
"Chlorophyllum_olivieri","Absent"
"Lepiota_cystophoroides","Absent"
"Podaxis_pistillaris","Absent"
"Montagnea_candollei","Absent"
"Coprinus_sterquilinus","Absent"
"Coprinus_comatus","Absent"
"Calvatia_gigantea","Absent"
"Bovista_nigrescens","Absent"
"Bovista_dermoxantha","Absent"
"Bovista_plumbea","Absent"
"Lycoperdon_marginatum","Absent"
"Lycoperdon_perlatum","Absent"
"Lycoperdon_coloratum","Absent"
"Lycoperdon_pyriforme","Absent"
"Chamaemyces_fracidus","Absent"
"Lepiota_psalion","Absent"
"Leucoagaricus_gongylophorus","Absent"
"Leucoagaricus_amanitoides","Absent"
"Hymenogaster_bulliardii","Present"
"Mycocalia_denudata","Absent"
"Cyathus_setosus","Absent"
"Cyathus_pallidus","Absent"
"Cyathus_gansuensis","Absent"
"Cyathus_striatus","Absent"
"Cyathus_poeppigii","Absent"
"Cyathus_annulatus","Absent"
"Cyathus_helenae","Absent"
"Cyathus_renweii","Absent"
"Cyathus_griseocarpus","Absent"
"Cyathus_jiayuguanensis","Absent"
"Cyathus_olla","Absent"
"Cyathus_guandishanensis","Absent"
"Crucibulum_laeve","Absent"
"Nidula_niveotomentosa","Absent"
"Phaeolepiota_aurea","Absent"
"Cystoderma_superbum","Absent"
"Cystoderma_niveum","Absent"
"Cystoderma_lilacipes","Absent"
"Cystoderma_chocoanum","Absent"
"Cystoderma_tuomikoskii","Absent"
"Cystoderma_fallax","Absent"
"Cystoderma_clastotrichum","Absent"
"Cystoderma_japonicum","Absent"
"Cystoderma_subvinaceum","Absent"
"Cystoderma_andinum","Absent"
"Cystoderma_amianthinum","Absent"
"Floccularia_luteovirens","Absent"
"Floccularia_albolanaripes","Absent"
